76839152,Carlos Huamán,+51 987 654 321,carlos.huaman@gmail.com
81356249,Lucía Vargas,+51 912 348 765,lucia.vargas@gmail.com
72914583,Martín Salazar,+51 956 738 129,martin.salazar@gmail.com
80561734,Andrea Quispe,+51 984 521 436,andrea.quispe@gmail.com
79234658,José Rojas,+51 999 213 754,jose.rojas@gmail.com
83491276,Valeria Paredes,+51 988 432 156,valeria.paredes@gmail.com
76543198,Diego León,+51 911 345 678,diego.leon@gmail.com
84927153,Sofía Gutiérrez,+51 943 876 543,sofia.gutierrez@gmail.com
79864312,Ricardo Cárdenas,+51 954 789 321,ricardo.cardenas@gmail.com
72651984,Elena Mendoza,+51 965 321 789,elena.mendoza@gmail.com
