48291375,Carlos Rivas,carlos.rivas@mail.com,S
75920461,Ana Torres,ana.torres@mail.com,P
19384752,Pedro Salazar,pedro.salazar@mail.com,S
60428195,Lucía Gutiérrez,lucia.gutierrez@mail.com,P
87193502,Marcos Paredes,marcos.paredes@mail.com,S
32501948,Sofía Delgado,sofia.delgado@mail.com,P
71482039,Diego Vargas,diego.vargas@mail.com,S
29837461,Elena Ramírez,elena.ramirez@mail.com,P
56019482,Andrés Cordero,andres.cordero@mail.com,S
83920157,Valeria Quispe,valeria.quispe@mail.com,P
94751823,Javier López,javier.lopez@mail.com,S
21609384,Gabriela Mendoza,gabriela.mendoza@mail.com,P
38475912,Ricardo Ríos,ricardo.rios@mail.com,S
50192837,Natalia Castro,natalia.castro@mail.com,P
62817459,Felipe Soto,felipe.soto@mail.com,S
17459382,Isabel Ramos,isabel.ramos@mail.com,P
89024176,Roberto Jiménez,roberto.jimenez@mail.com,S
45910283,Adriana Morales,adriana.morales@mail.com,P
23178495,Alejandro Ruiz,alejandro.ruiz@mail.com,S
67891234,Camila Fuentes,camila.fuentes@mail.com,P
98765432,Daniel Vega,daniel.vega@mail.com,S
12345678,Laura Ortiz,laura.ortiz@mail.com,P
54321098,Luis Herrera,luis.herrera@mail.com,S
87654321,Fernanda Torres,fernanda.torres@mail.com,P
23456789,Mario Gómez,mario.gomez@mail.com,S
65432190,Paola Castillo,paola.castillo@mail.com,P
78901234,Sergio Mendoza,sergio.mendoza@mail.com,S
34567890,Sofía Castro,sofia.castro2@mail.com,P
90123456,Carlos Velez,carlos.velez@mail.com,S
12345670,Diana Luján,diana.lujan@mail.com,P
56789012,Enrique Salas,enrique.salas@mail.com,S
89012345,Gabriela Díaz,gabriela.diaz@mail.com,P
23456780,Hugo Peña,hugo.pena@mail.com,S
67890123,Jimena Robles,jimena.robles@mail.com,P
90123451,Kevin Soto,kevin.soto@mail.com,S
12345679,Lina Morales,lina.morales@mail.com,P
56789010,Marcos Rivera,marcos.rivera@mail.com,S
89012340,Natalia Valdés,natalia.valdes@mail.com,P
23456781,Omar Quispe,omar.quispe@mail.com,S
67890121,Patricia Cárdenas,patricia.cardenas@mail.com,P
90123453,Raúl Hurtado,raul.hurtado@mail.com,S
12345672,Silvia Ochoa,silvia.ochoa@mail.com,P
56789013,Tomas Pacheco,tomas.pacheco@mail.com,S
89012344,Ursula Ríos,ursula.rios@mail.com,P
23456785,Víctor Guzmán,victor.guzman@mail.com,S
67890126,Wendy Torres,wendy.torres@mail.com,P
90123457,Xavier Castillo,xavier.castillo@mail.com,S
12345673,Yessenia Pardo,yessenia.pardo@mail.com,P
56789014,Zacarias Lazo,zacarias.lazo@mail.com,S
89012346,Adrián Molina,adrian.molina@mail.com,P
23456787,Belén Cueva,belen.cueva@mail.com,S
67890128,Claudio Salas,claudio.salas@mail.com,P
90123459,Daniela Galarza,daniela.galarza@mail.com,S
12345671,Esteban Ramos,esteban.ramos@mail.com,P
56789015,Fabiola Vega,fabiola.vega@mail.com,S
89012342,Gonzalo Huamán,gonzalo.huaman@mail.com,P
23456783,Helen Cárdenas,helen.cardenas@mail.com,S
67890124,Ignacio Luján,ignacio.lujan@mail.com,P
